Pos,Equipo,PJ,PG,PE,PP,Prom.G,Pts
1.0,CF Barcelona[Nota 1]​,30.0,22.0,2.0,6.0,"3,07",46.0
2.0,Real Madrid[Nota 2]​,30.0,21.0,4.0,5.0,"2,56",46.0
3.0,Atlético de Bilbao,30.0,19.0,1.0,10.0,"1,64",39.0
4.0,Sevilla CF,30.0,16.0,4.0,10.0,"1,43",36.0
5.0,Atlético de Madrid,30.0,15.0,3.0,12.0,"1,48",33.0
6.0,Real Oviedo,30.0,13.0,7.0,10.0,"0,75",33.0
7.0,Real Betis,30.0,15.0,3.0,12.0,"0,79",33.0
8.0,RCD Español,30.0,11.0,8.0,11.0,"1,14",30.0
9.0,Valencia CF,30.0,11.0,6.0,13.0,"1,12",28.0
10.0,Elche CF,30.0,11.0,5.0,14.0,"0,64",27.0
11.0,Real Zaragoza,30.0,10.0,5.0,15.0,"0,84",25.0
12.0,Granada CF,30.0,10.0,5.0,15.0,"0,73",25.0
13.0,Real Valladolid,30.0,11.0,3.0,16.0,"0,79",25.0
14.0,Real Sociedad,30.0,10.0,3.0,17.0,"0,67",23.0
15.0,CA Osasuna,30.0,8.0,2.0,20.0,"0,56",18.0
16.0,UD Las Palmas,30.0,5.0,3.0,22.0,"0,31",13.0
