,,Equipos,PJ,PG,PE,PP,Pts
,1,Real Madrid C F,34.0,16.0,15.0,3.0,47.0
,2,Real Sporting de Gijón,34.0,17.0,9.0,8.0,43.0
,3,Atlético de Madrid,34.0,14.0,13.0,7.0,41.0
,4,Real Sociedad,34.0,18.0,5.0,11.0,41.0
,5,F C Barcelona[1]​,34.0,16.0,6.0,12.0,38.0
,6,U D Las Palmas,34.0,14.0,9.0,11.0,37.0
,7,Valencia C F,34.0,14.0,7.0,13.0,35.0
,8,R C D Español,34.0,15.0,5.0,14.0,35.0
,9,Athletic Club,34.0,12.0,10.0,12.0,34.0
,10,U D Salamanca,34.0,13.0,8.0,13.0,34.0
,11,Sevilla F C,34.0,12.0,9.0,13.0,33.0
,12,Hércules C F,34.0,13.0,6.0,15.0,32.0
,13,Burgos C F,34.0,10.0,12.0,12.0,32.0
,14,Real Zaragoza,34.0,12.0,6.0,16.0,30.0
,15,Rayo Vallecano,34.0,9.0,11.0,14.0,29.0
,16,R C Celta de Vigo (D),34.0,9.0,10.0,15.0,28.0
,17,Racing de Santander (D),34.0,9.0,4.0,21.0,22.0
,18,R C Recreativo de Huelva (D),34.0,8.0,5.0,21.0,21.0
