Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,Real Madrid,38.0,25.0,12.0,1.0,62.0
2.0,Barcelona[2]​,38.0,23.0,11.0,4.0,57.0
3.0,Valencia,38.0,18.0,13.0,7.0,49.0
4.0,Atlético de Madrid,38.0,19.0,8.0,11.0,46.0
5.0,Real Zaragoza,38.0,15.0,13.0,10.0,43.0
6.0,Real Valladolid[3]​,38.0,18.0,7.0,13.0,43.0
7.0,Athletic Club,38.0,15.0,12.0,11.0,42.0
8.0,Celta de Vigo,38.0,14.0,11.0,13.0,39.0
9.0,Sevilla,38.0,13.0,12.0,13.0,38.0
10.0,Osasuna,38.0,13.0,11.0,14.0,37.0
11.0,Real Sociedad,38.0,11.0,14.0,13.0,36.0
12.0,Real Oviedo,38.0,12.0,11.0,15.0,35.0
13.0,Sporting de Gijón,38.0,13.0,9.0,16.0,35.0
14.0,Logroñés,38.0,9.0,16.0,13.0,34.0
15.0,Cádiz,38.0,9.0,15.0,14.0,33.0
16.0,Málaga,38.0,12.0,9.0,17.0,33.0
17.0,Espanyol,38.0,7.0,16.0,15.0,30.0
18.0,Real Betis,38.0,9.0,11.0,18.0,29.0
19.0,Real Murcia,38.0,9.0,6.0,23.0,24.0
20.0,Elche,38.0,4.0,7.0,27.0,15.0
