,,Equipo,PJ,PG,PE,PP,PTS
,1,Real Madrid C F,38.0,22.0,12.0,4.0,78.0
,2,Real Sociedad,38.0,22.0,10.0,6.0,76.0
,3,Deportivo de La Coruña,38.0,22.0,6.0,10.0,72.0
,4,R C Celta de Vigo,38.0,17.0,10.0,11.0,61.0
,5,Valencia C F,38.0,17.0,9.0,12.0,60.0
,6,F C Barcelona,38.0,15.0,11.0,12.0,56.0
,7,Athletic Club,38.0,15.0,10.0,13.0,55.0
,8,Real Betis,38.0,14.0,12.0,12.0,54.0
,9,R C D Mallorca[1]​,38.0,14.0,10.0,14.0,52.0
,10,Sevilla F C,38.0,13.0,11.0,14.0,50.0
,11,C A Osasuna,38.0,12.0,11.0,15.0,47.0
,12,Atlético de Madrid,38.0,12.0,11.0,15.0,47.0
,13,Málaga C F,38.0,11.0,13.0,14.0,46.0
,14,Real Valladolid,38.0,12.0,10.0,16.0,46.0
,15,Villarreal C F,38.0,11.0,12.0,15.0,45.0
,16,Racing de Santander,38.0,13.0,5.0,20.0,44.0
,17,R C D Español,38.0,10.0,13.0,15.0,43.0
,18,Recreativo de Huelva,38.0,8.0,12.0,18.0,36.0
,19,Deportivo Alavés,38.0,8.0,11.0,19.0,35.0
,20,Rayo Vallecano,38.0,7.0,11.0,20.0,32.0
