,,Equipo,PJ,PG,PE,PP,Pts
,1,F C Barcelona (C),38.0,30.0,6.0,2.0,96.0
,2,Real Madrid C F,38.0,29.0,5.0,4.0,92.0
,3,Valencia C F,38.0,21.0,8.0,9.0,71.0
,4,Villarreal C F,38.0,18.0,8.0,12.0,62.0
,5,Sevilla F C,38.0,17.0,7.0,14.0,58.0
,6,Athletic Club,38.0,18.0,4.0,16.0,58.0
,7,Atlético de Madrid [nota 1]​,38.0,17.0,7.0,14.0,58.0
,8,R C D Espanyol,38.0,15.0,4.0,19.0,49.0
,9,C A Osasuna,38.0,13.0,8.0,17.0,47.0
,10,Sporting de Gijón,38.0,11.0,14.0,13.0,47.0
,11,Málaga C F,38.0,13.0,7.0,18.0,46.0
,12,Racing de Santander,38.0,12.0,10.0,16.0,46.0
,13,Real Zaragoza,38.0,12.0,9.0,17.0,45.0
,14,Levante U D,38.0,12.0,9.0,17.0,45.0
,15,Real Sociedad,38.0,14.0,3.0,21.0,45.0
,16,Getafe C F,38.0,12.0,8.0,18.0,44.0
,17,R C D Mallorca,38.0,12.0,8.0,18.0,44.0
,18,Deportivo de La Coruña,38.0,10.0,13.0,15.0,43.0
,19,Hércules C F,38.0,9.0,8.0,21.0,35.0
,20,U D Almería,38.0,6.0,12.0,20.0,30.0
