,,Equipos,,PJ,PG,PE,PP,Pts
,1,F C Barcelona (C),,38.0,32.0,4.0,2.0,100.0
,2,Real Madrid C F,,38.0,26.0,7.0,5.0,85.0
,3,Atlético de Madrid,,38.0,23.0,7.0,8.0,76.0
,4,Real Sociedad,,38.0,18.0,12.0,8.0,66.0
,5,Valencia C F,,38.0,19.0,8.0,11.0,65.0
,6,Málaga C F [nota 1]​,,38.0,16.0,9.0,13.0,57.0
,7,Real Betis,,38.0,16.0,8.0,14.0,56.0
,8,Rayo Vallecano [nota 2]​,,38.0,16.0,5.0,17.0,53.0
,9,Sevilla F C,,38.0,14.0,8.0,16.0,50.0
,10,Getafe C F,,38.0,13.0,8.0,17.0,47.0
,11,Levante U D,,38.0,12.0,10.0,16.0,46.0
,12,Athletic Club,,38.0,12.0,9.0,17.0,45.0
,13,R C D Español,,38.0,11.0,11.0,16.0,44.0
,14,Real Valladolid,,38.0,11.0,10.0,17.0,43.0
,15,Granada C F,,38.0,11.0,9.0,18.0,42.0
,16,C A Osasuna,,38.0,10.0,9.0,19.0,39.0
,17,R C Celta de Vigo,,38.0,10.0,7.0,21.0,37.0
,18,R C D Mallorca (D),,38.0,9.0,9.0,20.0,36.0
,19,R C Deportivo de La Coruña (D),,38.0,8.0,11.0,19.0,35.0
,20,Real Zaragoza (D),,38.0,9.0,7.0,22.0,34.0
