,Pos,Equipos,,PJ,PG,PE,PP,Pts
,1.0,F C Barcelona (C),,38.0,30.0,4.0,4.0,94.0
,2.0,Real Madrid C F,,38.0,30.0,2.0,6.0,92.0
,3.0,Atlético de Madrid,,38.0,23.0,9.0,6.0,78.0
,4.0,Valencia C F,,38.0,22.0,11.0,5.0,77.0
,5.0,Sevilla F C [Nota 1]​,,38.0,23.0,7.0,8.0,76.0
,6.0,Villarreal C F,,38.0,16.0,12.0,10.0,60.0
,7.0,Athletic Club,,38.0,15.0,10.0,13.0,55.0
,8.0,R C Celta de Vigo,,38.0,13.0,12.0,13.0,51.0
,9.0,Málaga C F,,38.0,14.0,8.0,16.0,50.0
,10.0,R C D Espanyol,,38.0,13.0,10.0,15.0,49.0
,11.0,Rayo Vallecano,,38.0,15.0,4.0,19.0,49.0
,12.0,Real Sociedad,,38.0,11.0,13.0,14.0,46.0
,13.0,Elche C F (D),,38.0,11.0,8.0,19.0,41.0
,14.0,Levante U D,,38.0,9.0,10.0,19.0,37.0
,15.0,Getafe C F,,38.0,10.0,7.0,21.0,37.0
,16.0,R C Deportivo de La Coruña,,38.0,7.0,14.0,17.0,35.0
,17.0,Granada C F,,38.0,7.0,14.0,17.0,35.0
,18.0,S D Eibar*,,38.0,9.0,8.0,21.0,35.0
,19.0,U D Almería (D),,38.0,8.0,8.0,22.0,32.0
,20.0,Córdoba C F (D),,38.0,3.0,11.0,24.0,20.0
