,Pos,Equipos,PJ,PG,PE,PP,Pts
,1.0,F C Barcelona,38.0,29.0,4.0,5.0,91.0
,2.0,Real Madrid C F,38.0,28.0,6.0,4.0,90.0
,3.0,Atlético de Madrid,38.0,28.0,4.0,6.0,88.0
,4.0,Villarreal C F,38.0,18.0,10.0,10.0,64.0
,5.0,Athletic Club,38.0,18.0,8.0,12.0,62.0
,6.0,R C Celta de Vigo,38.0,17.0,9.0,12.0,60.0
,7.0,Sevilla F C,38.0,14.0,10.0,14.0,52.0
,8.0,Málaga C F,38.0,12.0,12.0,14.0,48.0
,9.0,Real Sociedad,38.0,13.0,9.0,16.0,48.0
,10.0,Real Betis Balompié,38.0,11.0,12.0,15.0,45.0
,11.0,U D Las Palmas,38.0,12.0,8.0,18.0,44.0
,12.0,Valencia C F,38.0,11.0,11.0,16.0,44.0
,13.0,R C D Español,38.0,12.0,7.0,19.0,43.0
,14.0,S D Eibar,38.0,11.0,10.0,17.0,43.0
,15.0,R C D La Coruña,38.0,8.0,18.0,12.0,42.0
,16.0,Granada C F,38.0,10.0,9.0,19.0,39.0
,17.0,Sporting de Gijón,38.0,10.0,9.0,19.0,39.0
,18.0,Rayo Vallecano,38.0,9.0,11.0,18.0,38.0
,19.0,Getafe C F,38.0,9.0,9.0,20.0,36.0
,20.0,Levante U D,38.0,8.0,8.0,22.0,32.0
