Atletico de Bilbao,1970-71,E,P,E,G,P,G,E,G,G,E,P,G,P,G,E,G,G,G,G,G,P,G,P,P,P,G,E,E,P,G
Barcelona,1970-71,E,G,E,G,G,G,G,P,G,G,P,G,G,P,G,P,G,G,P,E,G,P,E,G,G,G,G,G,G,E
Las Palmas,1970-71,E,P,E,E,E,P,P,G,E,P,E,E,P,G,P,P,E,P,P,G,G,P,P,G,P,P,P,E,P,E
Atletico de Madrid,1970-71,E,G,G,G,G,G,E,E,P,G,E,G,E,G,P,G,P,G,P,G,G,G,P,G,E,G,G,G,E,E
Real Madrid,1970-71,G,P,G,E,E,G,P,E,P,G,G,E,E,G,G,P,G,P,G,G,E,G,G,G,G,P,G,G,G,E
Valencia,1970-71,P,G,P,E,E,G,G,G,G,E,G,P,G,G,G,G,E,E,G,E,G,G,E,P,G,G,G,G,G,P
Celta de Vigo,1970-71,G,P,E,P,G,E,G,G,E,G,P,G,P,G,G,P,E,P,G,P,G,G,P,G,G,G,P,G,P,E
Sporting de Gijon,1970-71,P,G,P,P,E,P,E,G,P,G,G,P,E,P,E,G,P,G,P,P,P,G,P,G,G,P,P,P,G,E
Elche,1970-71,E,P,G,P,P,P,E,E,E,P,E,E,E,P,P,P,P,P,E,E,P,P,G,P,E,G,P,P,P,G
Granada,1970-71,E,G,P,E,P,G,G,P,E,P,E,P,G,P,G,G,P,G,P,E,P,E,G,P,P,P,E,E,G,G
Espanol,1970-71,P,P,E,G,E,P,E,P,E,P,G,E,G,P,P,P,G,P,G,E,P,P,G,E,P,E,G,E,P,G
Sevilla,1970-71,G,G,G,E,G,P,E,E,P,P,G,P,G,P,G,G,P,E,G,E,G,P,G,P,E,P,G,P,G,P
Sabadell,1970-71,E,P,G,P,P,P,G,P,E,G,P,E,P,G,P,P,G,P,G,P,G,P,G,P,E,E,P,P,P,P
Real Sociedad,1970-71,E,G,E,E,E,G,P,P,G,E,G,P,G,P,P,G,G,G,P,E,P,E,G,P,P,P,P,E,G,E
Zaragoza,1970-71,E,P,P,P,E,E,P,E,E,P,P,G,P,G,E,P,P,P,P,P,P,G,P,E,P,P,P,E,P,E
CD Malaga,1970-71,E,G,P,G,E,P,P,E,E,E,P,E,P,P,E,G,E,G,E,E,E,P,P,G,G,G,G,P,E,P
